Group,DisplayName,PeptideID
P38,P38B,ATF2_47_59
P38,P38D,ATF2_47_59
P38,P38A,ATF2_47_59
JNK,JNK1,ATF2_47_59
JNK,JNK3,ATF2_47_59
P38,P38G,ATF2_47_59
ERK,ERK2,ATF2_47_59
ERK,ERK7,ATF2_47_59
ERK,ERK1,ATF2_47_59
JNK,JNK2,ATF2_47_59
JNK,JNK3,MYBB_513_525
JNK,JNK1,MYBB_513_525
ERK,ERK7,MYBB_513_525
JNK,JNK2,MYBB_513_525
P38,P38G,MYBB_513_525
ERK,ERK2,MYBB_513_525
P38,P38B,MYBB_513_525
P38,P38D,MYBB_513_525
P38,P38A,MYBB_513_525
ERK,ERK1,MYBB_513_525
ERK,ERK5,MYBB_513_525
ERK,ERK7,PLEK_106_118
ERK,ERK7,GRIK2_708_720
ERK,ERK7,ACM1_421_433
ERK,ERK5,IKKB_686_698
ERK,ERK7,PP2AB_297_309
ERK,ERK2,PP2AB_297_309
P38,P38A,PP2AB_297_309
ERK,ERK2,RBL2_655_667
ERK,ERK1,RBL2_655_667
JNK,JNK3,RBL2_655_667
ERK,ERK5,RBL2_655_667
P38,P38B,RBL2_655_667
P38,P38D,RBL2_655_667
P38,P38G,RBL2_655_667
JNK,JNK2,RBL2_655_667
P38,P38A,RBL2_655_667
JNK,JNK1,RBL2_655_667
ERK,ERK7,RS6_228_240
ERK,ERK5,RS6_228_240
ERK,ERK5,FRAP_2443_2455
ERK,ERK7,K6PL_766_778
JNK,JNK2,LMNB1_16_28
P38,P38G,LMNB1_16_28
JNK,JNK3,LMNB1_16_28
P38,P38A,LMNB1_16_28
JNK,JNK1,LMNB1_16_28
P38,P38B,LMNB1_16_28
P38,P38D,LMNB1_16_28
ERK,ERK1,LMNB1_16_28
ERK,ERK2,LMNB1_16_28
ERK,ERK7,LMNB1_16_28
ERK,ERK5,LMNB1_16_28
ERK,ERK2,NEK2_172_184
P38,P38A,NEK2_172_184
P38,P38G,NEK2_172_184
P38,P38D,NEK2_172_184
P38,P38B,NEK2_172_184
JNK,JNK2,NEK2_172_184
JNK,JNK3,NEK2_172_184
ERK,ERK1,NEK2_172_184
JNK,JNK1,NEK2_172_184
ERK,ERK7,RBL2_959_971
JNK,JNK3,RBL2_959_971
P38,P38G,RBL2_959_971
